domain,category,company_size,email_provider,confidence,other_industry_category,website,website_status,website_reason
infinitesolutionedu.com,Education and e-learning,5 to 20,No,90,N/A,much_info,reachable,200
buildtechnics.com.au,Manufacturing and Industrial,5 to 20,No,95,N/A,unreachable,unreachable,403
premiumplusproperties.com.au,Real Estate and Property Management,5 to 20,No,95,N/A,much_info,reachable,200
specfx.com,Financial Service,20 to 50,No,95,N/A,much_info,reachable,200
andromarkets.com,Financial Service,20 to 50,No,95,N/A,much_info,reachable,200
solismarkets.com,E-commerce and Retail,1 to 5,No,50,N/A,no_info,reachable,200
steela.com.au,Manufacturing and Industrial,20 to 50,No,95,N/A,much_info,reachable,200
yaseens-website.com,Other,Unknown,No,10,Personal Website/Placeholder,unreachable,unreachable,404
augmentedera.com,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
phantom777.biz,Other,1 to 5,No,95,Fraudulent Online Platform,no_info,reachable,200
tothenew.com,Technology and Software Development,500+,No,98,N/A,much_info,reachable,200
mavonorm-global.com,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
montek.cc,Technology and Software Development,5 to 20,No,88,N/A,much_info,reachable,200
mentorhealthcare.com.au,Healthcare,50 to 100,No,95,N/A,much_info,reachable,200
surelia.info,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
transmitvisaservices.com,Other,5 to 20,No,95,Immigration Consultancy / Visa Services,much_info,reachable,200
oristadmarketingeurope.com,Marketing and Advertising,solo,No,30,N/A,unreachable,unreachable,403
packworks.io,Technology and Software Development,100 to 200,No,95,N/A,much_info,reachable,200
emtgroupdxb.com,Manufacturing and Industrial,100 to 200,No,95,N/A,much_info,reachable,200
correct.clinic,Healthcare,5 to 20,No,95,N/A,much_info,reachable,200
flynnestateagents.com.au,Real Estate and Property Management,1 to 5,No,80,N/A,unreachable,unreachable,403
galileigroup.au,Professional Services,20 to 50,No,90,N/A,no_info,reachable,200
careerireland.com,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
oneclickcomply.com,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
custa.com,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
coxmarketing.online,Marketing and Advertising,50 to 100,No,95,N/A,much_info,reachable,200
loti.com,Professional Services,20 to 50,No,95,N/A,much_info,reachable,200
jayasresources.com,Professional Services,20 to 50,No,95,N/A,much_info,reachable,200
lkfconcepts.com,Other,200 to 500,No,95,Hospitality and Restaurants,much_info,reachable,200
mysmb.com,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
zeetech.pro,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
kinnara.asia,Other,5 to 20,No,70,General Wholesale Trade and Real Estate Services,unreachable,unreachable,403
ktarsys.io,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
newdoc.com.au,Healthcare,5 to 20,No,95,N/A,much_info,reachable,200
thediversecollective.com.au,Marketing and Advertising,1 to 5,No,85,N/A,no_info,reachable,200
bookingsicher.de,Financial Service,1 to 5,No,75,N/A,much_info,reachable,200
cphtradingacademy.dk,Education and e-learning,1 to 5,No,45,N/A,unreachable,unreachable,403
crescorealestate.ae,Real Estate and Property Management,20 to 50,No,95,N/A,much_info,reachable,200
e-shopglobalcommerce.com,E-commerce and Retail,solo,No,25,N/A,unreachable,unreachable,404
harbourinvestmentpartners.au,Financial Service,5 to 20,No,95,N/A,much_info,reachable,200
internationalclearingex.com,Financial Service,solo,No,45,N/A,unreachable,unreachable,Connection Error
oceansparklimited.com,Other,1 to 5,No,45,General Trading and Supplies,no_info,reachable,200
oncosmetics.com,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
upmatch.io,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
yyy-net.com,Technology and Software Development,20 to 50,No,85,N/A,unreachable,unreachable,403
cooeeinc.com,Professional Services,200 to 500,No,95,N/A,much_info,reachable,200
elitetex.us,Manufacturing and Industrial,20 to 50,No,95,N/A,much_info,reachable,200
starproduceracademy.com,Education and e-learning,1 to 5,No,80,N/A,unreachable,unreachable,403
sunfltd.com,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
mion.london,Professional Services,1 to 5,No,95,N/A,unreachable,unreachable,404
evolvedevelopment.com,Other,20 to 50,No,95,Renewable Energy Development,much_info,reachable,200
cloudkeeper.com,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable,200
coachoncollins.com,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
mindbridge.net,Professional Services,500+,No,95,N/A,much_info,reachable,200
channels.ltd,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
finowizprime.org,Financial Service,5 to 20,No,80,N/A,unreachable,unreachable,Connection Error
fwh.co.za,Financial Service,20 to 50,No,95,N/A,much_info,reachable,200
miraclesasia.com,Healthcare,20 to 50,No,98,N/A,much_info,reachable,200
paana.com.au,Other,5 to 20,No,95,Construction Services,much_info,reachable,200
talkcraftai.com,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
mingfinance.com.au,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
gnet0.com,Other,1 to 5,No,45,IT Infrastructure,no_info,reachable,200
mytutorsource.ae,Education and e-learning,500+,No,95,N/A,much_info,reachable,200
sveaverken.com,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable,200
activestudy.com.au,Education and e-learning,5 to 20,No,95,N/A,much_info,reachable,200
radixweb.com,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
arc-capital.com,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
elisionventures.com,Financial Service,1 to 5,No,95,N/A,much_info,reachable,200
aircoolcare.com.au,Other,5 to 20,No,95,HVAC and Air Duct Cleaning Services,much_info,reachable,200
clm-banque.com,Financial Service,5 to 20,No,88,N/A,little_info,reachable,200
macdaddyand.co,Other,5 to 20,No,95,Property Remediation and Restoration,much_info,reachable,200
sky-commerce.co,Technology and Software Development,20 to 50,No,90,N/A,no_info,reachable,200
moneturn.com,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
crimpuestos.com,Financial Service,5 to 20,No,95,N/A,much_info,reachable,200
icxeed.ai,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
baltzersens.co.uk,Other,20 to 50,No,95,Food and Beverage,unreachable,unreachable,Connection Error
digivendtechnologies.com,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
timetracko.com,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
totalshiftleft.com,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
probioform.com.au,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
smartpokies.com,Other,solo,No,95,Online Gambling Guide/Affiliate,much_info,reachable,200
iux.com,Financial Service,500+,No,95,N/A,much_info,reachable,200
ins-global.com,Professional Services,200 to 500,No,95,N/A,unreachable,unreachable,403
datasearchconsulting.com,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
entegraglobal.com,Technology and Software Development,100 to 200,No,90,N/A,unreachable,unreachable,Connection Error
1902.software,Technology and Software Development,100 to 200,No,95,N/A,much_info,reachable,200
remoterecruitment.ai,Professional Services,Unknown,No,95,N/A,much_info,reachable,200
memoryblock.com.au,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
gehilaw.com,Professional Services,20 to 50,No,90,N/A,unreachable,unreachable,403
zomome.com,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
wiingy.com,Education and e-learning,20 to 50,No,95,N/A,much_info,reachable,200
alphasecuritybureau.com,Other,20 to 50,No,95,Security Services,much_info,reachable,200
futurvermogensgesellschaftmbh.com,Financial Service,1 to 5,No,95,N/A,unreachable,unreachable,Connection Error
jalanx.com,Other,1 to 5,No,25,Travel Agency,unreachable,unreachable,Connection Error
originmattress.com,E-commerce and Retail,20 to 50,No,90,N/A,unreachable,unreachable,403
timesact.com,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
infognana.com,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable,200
mds-fund.com,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
fivestarpropertymanagement.com.au,Real Estate and Property Management,1 to 5,No,95,N/A,much_info,reachable,200
thescalefactory.net,Professional Services,20 to 50,No,95,N/A,much_info,reachable,200
satsportnews.com,Other,1 to 5,No,78,Sports News and Media,much_info,reachable,200
monee.ai,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
eliptis.se,Technology and Software Development,1 to 5,No,85,N/A,little_info,reachable,200
msxi.com,Professional Services,500+,No,95,N/A,much_info,reachable,200
retailinsight.io,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
xebo.ai,Technology and Software Development,100 to 200,No,95,N/A,much_info,reachable,200
lsports.eu,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable,200
